sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)
AusGEM_00014:AB690	1	2399	40.97540641934139	9754e0b2187d13fc57fd0831f40effb6	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.0	Escherichia coli APEC IMT5155	AB690	AK570	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00015:AA279	2	108790	52.78977847228606	e6f9fb732841b24c42b83c0f8b6e28f3	IncK2/Z	KC340959	MOBP	NC_013728_00087	MPF_I	NC_022992_00102,NC_022992_00098,NC_012487_00131,NC_022371_00084,NC_007365_00033,NC_011754_00109,NC_007365_00035,NC_014843_00047,NC_011754_00087	MOBP	AB290882	conjugative	AP017613	0.0129677	Escherichia coli	AA279	AI097	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	30761100
AusGEM_00015:AA176	17	153537	49.40893725942281	d9280eb86a69f1166666d1390b0643b2	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	MN053930	0.00240836	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00015:AA941	6	32424	56.649395509499136	2713f3a2e4628c7b5ef949f6503e4568	-	-	-	-	-	-	-	-	non-mobilizable	CP025252	0.0465005	Escherichia coli	AA941	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00015:AB690	2	7753	42.49967754417645	2c9510fa87092be08553e22aa6f47a88	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.0357395	Escherichia coli APEC IMT5155	AB690	-	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00015:AB684	1	2534	40.84451460142068	0cc7749bf7e59a74e3bf42daf9b78244	Col(MG828)	NC_008486	-	-	-	-	MOB_unknown	CP002136	mobilizable	NC_019075	0.010314	Escherichia coli	AB684	AK561	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00017:AA372	2	60456	42.35311631599841	2b1dc1d74985e9c4270b04773e2742b4	IncI2	JN983044	MOBP	NC_022520_00030	MPF_T	NC_020270_00058,NC_019039_00051,NC_019039_00052,NC_020270_00063,NC_019115_00018	-	-	conjugative	CP043204	0.00251903	Escherichia coli O16:H48	AA372	AI349	family	Enterobacteriaceae	family	Enterobacteriaceae	family	Enterobacteriaceae	26842776; 30761100; 25861872
AusGEM_00017:AC621	1	54982	44.827398057546105	d13e51afd5d8c560b3be3fc1f9a414c5	-	-	-	-	-	-	-	-	non-mobilizable	AP019710	0.0154006	Escherichia coli O145:H28	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00017:AG294	1	42665	52.891128559709365	791ff5608485c1a0472374bf0f9d6a42	-	-	-	-	-	-	-	-	non-mobilizable	CP019906	0.0158335	Escherichia coli	AG294	AQ321	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00017:AA319	25	158020	50.405012023794455	79c34f5c4f86982f7f0e57211938e732	IncFIB,IncFIC,IncFII,rep_cluster_2232	000095__NZ_CP014273_00094,AP001918,JN232517,CP031286_00006	MOBF	NC_017627_00068	MPF_F	NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200,NC_014615_00033,NC_010488_00021	MOBF	KT325596	conjugative	CP010158	0.0157789	Escherichia coli	AA319	AI203	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 28842132; 15781495; 20851899; 16257053
AusGEM_00017:AA161	1	11141	46.333363252849836	aee3ac69381b027b51dd1f0889b39314	rep_cluster_2350,rep_cluster_2370	CP035723_00002,CP033698_00001	MOBP	NC_023328_00003	-	-	MOBF,MOBP,MOBP,MOB_unknown	CP000430,NZ_CP016533,NC_008697,NC_019986	mobilizable	CP018987	0.0130638	Escherichia coli	AA161	AH807	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00017:AA579	1	4071	49.8894620486367	dd0c5e2aec0d0330f50184c8a491c631	rep_cluster_1778	001202__CP011432_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	CP016745,NC_009791	mobilizable	CP018208	0.00121124	Escherichia coli	AA579	AI797	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00017:AB686	1	1113	48.42767295597484	ff1e50a4ca013eeaa7af1b6bff6d0e66	-	-	-	-	-	-	MOBP	NC_002145	mobilizable	CP027128	0.00865422	Escherichia coli	AB686	AK565	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00018:AB233	3	49312	41.52538935756002	2146c4332b5fcc54209f25fa4a9e7f73	IncX1	000215__KC853434_00019	MOBP	NC_019096_00001	MPF_T	NC_017624_00009,NC_010860_00022,NC_019067_00043,NC_019138_00026,NC_023277_00163	-	-	conjugative	CP043216	0.0259767	Salmonella enterica subsp. enterica serovar Heidelberg	AB233	-	order	Enterobacterales	order	Enterobacterales	family	Enterobacteriaceae	21625636; 22470007
AusGEM_00018:AA175	13	130796	50.78289855958898	d37c76638343f38456d76cd4486a55ec	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	KP987215	conjugative	LC484363	0.0139988	Escherichia coli	AA175	AH848	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
AusGEM_00018:AA474	4	81837	50.006720676466635	732f0741e43f7dcb3ac7f1ec92a138e2	IncI-gamma/K1	KJ484639	MOBP	NC_019097	MPF_I	NZ_CM001473_00069,NC_022267_00069,NC_019097_00075,NC_015965_00072,NC_023290_00086,NC_019111_00038,NC_022267_00057,NC_019097_00056,NC_019097_00085	MOBP	JN253636	conjugative	LT985236	0.00296902	Escherichia coli	AA474	AI614	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_00018:AA979	1	5886	48.963642541624196	6091d6ceeda92051e2fc44a00716120d	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	CP018986	0.0101459	Escherichia coli	AA979	AJ481	family	Enterobacteriaceae	family	Enterobacteriaceae	genus	Escherichia	25389419
AusGEM_00018:AB444	1	5311	47.26040293729994	9cf24af407158106da2b16ec295ba371	-	-	MOBP	NC_019076_00002	-	-	MOBP	NZ_CP011417	mobilizable	AP019767	0.0380652	Escherichia coli O111:H-	AB444	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00018:AA162	1	4488	50.17825311942959	5f36aa6fe867b9a7e87cb70b254bdc2f	ColRNAI_rep_cluster_1857,rep_cluster_2350	000008__AJ627566,CP035723_00002	MOBP	NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP011433	0.001839	Salmonella enterica subsp. enterica serovar Typhimurium	AA162	AH810	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00018:AB685	1	1638	51.0989010989011	c98a5a35f034ecadfbdef065ea061c68	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOB_unknown	AB027308,GQ900404	mobilizable	CP024465	0.000434439	Klebsiella pneumoniae	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00019:AA378	2	103492	47.60851080276736	1d6c66282eef19e3b8393194dbcefe7d	IncHI1B	000138__CP021336_00001	-	-	-	-	-	-	non-mobilizable	CP015997	0.0180108	Escherichia coli	AA378	AI382	order	Enterobacterales	order	Enterobacterales	genus	Salmonella	18606786
AusGEM_00019:AA738	9	275360	44.64773387565369	331c008aa17d305b603e1fcebd70980b	IncHI2A,IncI2,rep_cluster_1088	BX664015,JN983044,000340__KU353730	MOBH,MOBP	NC_012555_00231,NC_022520_00030	MPF_F	NC_005211_00200,NC_005211_00207,NC_005211_00005,NC_009838_00006,NC_005211_00012,NC_021845_00017,NC_005211_00030,NC_020270_00058,NC_019039_00051,NC_019039_00052,NC_020270_00063,NC_019115_00018	MOBH	CP016716	conjugative	MH522426	0.00904645	Salmonella enterica subsp. enterica serovar Typhimurium	AA738	AJ047	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	26842776; 20851899; 30761100; 25861872
AusGEM_00019:AC621	1	45564	44.344219120358176	8761fae05418d61a5dfe1a68ec0a737b	-	-	-	-	-	-	-	-	non-mobilizable	AP019710	0.0115761	Escherichia coli O145:H28	AC621	AL885	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00019:AA176	13	143311	49.31442806204688	3b88870c762f3f5f17f1bb0dc0f79d32	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_018966_00040,NC_019094_00068,NC_009837_00049,08-5333_00200,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_013437_00116	MOBF	CP000430	conjugative	EU330199	0.0011089	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00019:AB961	2	7393	61.17949411605573	b50637ab892012b03a427ab0d7987646	-	-	-	-	-	-	-	-	non-mobilizable	CP023880	0.0183741	Raoultella planticola	AB961	AK949	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00019:AA161	2	7163	47.66159430406255	be96d8b50b7c5356052887d8136f5502	ColRNAI_rep_cluster_1857,rep_cluster_2350	GU949535_00001,CP035723_00002	MOBP	NC_023328_00003	-	-	MOBP	NZ_CP016533	mobilizable	CP018987	0.00113443	Escherichia coli	AA161	AH807	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	family	Enterobacteriaceae	17122402; 24777092; 6263753; 23800906; 26802429
AusGEM_00019:AA579	1	4117	49.696380859849405	0accd15a6b5f33ae791e6335483db4d2	rep_cluster_1778	001202__CP011432_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	CP016745,NC_009791	mobilizable	CP018208	0.000931334	Escherichia coli	AA579	AI797	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00019:AD481	1	4094	44.21104054714216	0680727094046f3a8ad086f3779e7d0e	rep_cluster_2350,rep_cluster_2370	CP035723_00002,CP039563_00003	-	-	-	-	MOBF,MOBP,MOB_unknown	CP000430,NC_008697,NC_019986	mobilizable	NC_014543	0.000830728	Escherichia coli O26:H11 str. 11368	AD481	AN052	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00019:AB241	1	2274	55.9806508355321	0d23802dceaf8e639e32eea151bb95f6	ColpVC	JX133088	-	-	-	-	MOBP	AB027308	mobilizable	NC_021927	0.00291212	Salmonella enterica subsp. enterica serovar Enteritidis	AB241	AJ946	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_00019:AB686	1	2079	51.274651274651276	cf73f0824263cf8377aa5d90cc77eeb2	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	CP029109	0.000215742	Escherichia coli	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00020:AA319	9	119890	49.531236967219954	2232431d78ed0f27d524581c6051d2a7	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,08-5333_00200,NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_013437_00116	MOBF	KT325596	conjugative	CP010158	0.00804257	Escherichia coli	AA319	AI203	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00020:AA161	1	10837	47.78997877641414	1a45aa6a7c04453f58373e55292c7a69	rep_cluster_2350	CP035723_00002	MOBP	NC_023328_00003	-	-	MOBP	NZ_CP016533	mobilizable	CP011137	0.0127293	Escherichia coli VR50	AA161	AH807	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00020:AF098	3	13926	45.01651586959644	3c66b2cae787b91557250f95c44d85dd	-	-	-	-	-	-	-	-	non-mobilizable	KM189195	0.0440934	Vibrio parahaemolyticus	AF098	-	genus	Vibrio	genus	Vibrio	-	-	-
AusGEM_00020:AA579	1	4088	49.90215264187867	a91c2cef145cb67bf69f8917a355786c	rep_cluster_1778	001201__CP010878_00001	MOBQ	NC_011411_00002	-	-	MOBQ,MOBQ	NC_010672,NC_016036	mobilizable	CP018966	0.00058191	Escherichia coli	AA579	AI799	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00020:AB686	1	1360	50.80882352941177	615c181147a0fdccb5dc02ec37c8b65c	Col(MG828)	NC_008486	-	-	-	-	MOBP	NC_002145	mobilizable	CP027128	0.00340187	Escherichia coli	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00020:AB685	1	1129	48.36138175376439	c9150194f06fcf61a892844b001ab126	-	-	-	-	-	-	MOB_unknown	GQ900404	mobilizable	CP024465	0.010441	Klebsiella pneumoniae	AB685	AK562	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00021:AA176	22	170479	49.57091489274339	93814b2513a473a3839d891d10ecad90	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,NC_009837_00049,08-5333_00200	MOBF	CP000430	conjugative	MK430046	0.00430121	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00021:AC510	1	8996	46.62072032014228	9c462b9704b4e74d41fcaead0d52a778	rep_cluster_2350	CP041342_00001	MOBP	NC_019076_00002	-	-	MOBP	CP019195	mobilizable	CP000972	0.000119496	Escherichia coli SMS-3-5	AC510	AL727	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00021:AB685	1	3169	50.86778163458504	4c82adb1fc43d84a8b7bffd49bcdd885	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOBP,MOB_unknown	NC_002145,CP001386,GQ900404	mobilizable	KM107846	0.0189925	Escherichia coli	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00021:AB690	1	2258	41.58547387068202	1d4a08add87a50c096d678006b6fd20a	-	-	-	-	-	-	-	-	non-mobilizable	CP005932	0.0206797	Escherichia coli APEC IMT5155	AB690	AK570	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00022:AA738	10	215210	45.78644115050416	62fc92ee4a1803ad6c668832ae83e4c4	IncHI2A,rep_cluster_1088	BX664015,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00012,NC_005211_00207,NC_005211_00200	MOBH	NC_015864	conjugative	KX023262	0.00580821	Escherichia coli	AA738	AJ047	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	20851899
AusGEM_00022:AA176	18	144371	49.22318194097152	cc99c533d0016fc0b886779a27e52101	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200,NC_022651_00077,NC_010409_00124	MOBF	CP000430	conjugative	EU330199	0.0023533	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00022:AB595	1	6134	53.994131072709486	2bb589f6f7aa77ad544b9ccb015ba250	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	AJ001708	mobilizable	LT985307	0.000215742	Escherichia coli	AB595	AK440	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Pseudomonadota	order	Enterobacterales	20008783
AusGEM_00022:AA163	1	3460	55.3757225433526	6f00d5bf86c4f32d136f97f885759e52	-	-	MOBP,MOBP	NC_017321_00002,NC_014003_00004	-	-	MOBP	NZ_CP011065	mobilizable	CP039602	0.000880953	Salmonella enterica subsp. enterica	AA163	AH811	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00022:AB690	1	2278	41.000877963125546	49ed08cf209fa1eba36aefd73472538e	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.00103256	Escherichia coli APEC IMT5155	AB690	AK570	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00022:AB686	1	1628	51.535626535626534	3a4990d79d94dc9c4a5409e3825bd730	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOBP	NC_002145,AB027308	mobilizable	CP029109	0.00384578	Escherichia coli	AB686	AK565	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00024:AA319	12	105736	49.657637890595446	3ce4e65c84fdf74414cd83470d7514b8	IncFIB,rep_cluster_2244	000095__NZ_CP014273_00094,CP033091_00053	-	-	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_010488_00021,NC_013437_00116	MOBF	KT325596	mobilizable	CP010158	0.00486359	Escherichia coli	AA319	AI203	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 30761100; 19482926; 15781495; 20851899; 16257053
AusGEM_00024:AD308	3	23672	53.438661710037174	d5bdbdd836f45a011fc4c7c914236823	-	-	MOBF	NC_020122_00018	MPF_T	NC_020122_00019	-	-	conjugative	CP010168	0.0455159	Escherichia coli	AD308	-	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_00024:AA941	2	14462	53.07011478357074	0c896c1ab6fbec869c3c32d340991947	-	-	-	-	-	-	-	-	non-mobilizable	CP014648	0.0590885	Klebsiella pneumoniae	AA941	-	family	Enterobacteriaceae	family	Enterobacteriaceae	-	-	-
AusGEM_00024:AA161	1	6909	49.05196121001592	5e629683767e78d3cf0845af69806d95	rep_cluster_2350	CP035723_00002	MOBP	NC_023328_00003	-	-	MOBP	NZ_CP012039	mobilizable	CP010159	4.76906e-05	Escherichia coli	AA161	AH805	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	multi-phylla	Actinomycetota,Bacillota,Bacteroidota,Pseudomonadota	genus	Escherichia	6263753; 17122402; 26802429
AusGEM_00024:AC249	2	8278	49.106064266731096	6cdc9f42e55332e8c00173463703048a	-	-	-	-	-	-	-	-	non-mobilizable	KU254581	0.0593303	Escherichia coli	AC249	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00024:AA156	1	4490	48.44097995545657	6f3e565d2abba5fe9ee362ebaa5bc155	rep_cluster_2406	AP019693_00006	MOBP	NC_019076_00002	-	-	-	-	mobilizable	CP041342	0.0246831	Escherichia coli	AA156	AH799	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_00024:AB685	1	3171	51.27719962157048	e6baa9ac870fdc07db995ec82c5afeb9	Col(MG828)	NC_008486	-	-	-	-	MOBP,MOBP,MOB_unknown	AB027308,NC_002145,GQ900404	mobilizable	CP024465	0.0186195	Klebsiella pneumoniae	AB685	AK562	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00024:AB690	1	2399	41.89245518966236	37b036993f578eae51e28a1854b175c8	Col(MG828)	NC_008486	-	-	-	-	-	-	non-mobilizable	CP005932	0.0	Escherichia coli APEC IMT5155	AB690	AK570	order	Enterobacterales	order	Enterobacterales	genus	Escherichia	30761100
AusGEM_00024:AB241	1	2183	55.199267063673844	29e51378a25b28f1adbce7d255dae614	ColpVC	JX133088	-	-	-	-	MOBP	AB027308	mobilizable	NC_021927	0.000680979	Salmonella enterica subsp. enterica serovar Enteritidis	AB241	AJ946	order	Enterobacterales	order	Enterobacterales	-	-	-
AusGEM_00025:AA738	9	220278	45.85796130344383	621bc97f33e8675d60b05caded58d848	IncHI2A,IncN,rep_cluster_1088	BX664015,000155__CP018649,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00207,NC_005211_00200,NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00012	MOBH	NC_015864	conjugative	CP033351	0.00584167	Salmonella enterica subsp. enterica	AA738	AJ047	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
AusGEM_00025:AA176	14	140804	49.15201272691117	62fc912b4eca76d7aef3febd793e418c	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_009837_00049,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	EU330199	0.000981871	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
AusGEM_00025:AA473	4	106313	49.73615644370867	caa2797baae77550d2fade66019f2803	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP018116	0.0137488	Escherichia coli	AA473	AI588	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_00025:AH004	1	13736	44.649097262667446	1efe9d9f9c5cdf2bd60e49ab6ab27c17	-	-	-	-	-	-	-	-	non-mobilizable	CP020521	0.043179	Escherichia coli	AH004	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00025:AF232	1	6482	50.910212897253935	f2ae3fdde1885a7bd6582b644133c9e4	-	-	-	-	-	-	-	-	non-mobilizable	CP034740	0.0376857	Escherichia coli	AF232	-	genus	Escherichia	genus	Escherichia	-	-	-
AusGEM_00026:AA738	9	223707	46.010182962535815	cf9e5d1c1239c0750e2f009b389ed7c7	IncHI2A,IncN,rep_cluster_1088	BX664015,000155__CP018649,000340__KU353730	MOBH	NC_012555_00231	MPF_F	NC_005211_00200,NC_005211_00207,NC_005211_00005,NC_009838_00006,NC_021845_00017,NC_005211_00030,NC_005211_00012	MOBH	NC_015864	conjugative	CP033351	0.00580821	Salmonella enterica subsp. enterica	AA738	AJ047	class	Gammaproteobacteria	class	Gammaproteobacteria	order	Enterobacterales	23114770; 20851899; 28842132
AusGEM_00026:AA474	3	90461	50.1133084975846	d36e40f33798959848ce1cbb1c1be9c4	IncI-gamma/K1	MG764547	MOBP	NC_019097	MPF_I	NC_019097_00056,NC_022267_00057,NC_019111_00038,NC_023290_00086,NC_015965_00072,NC_019097_00075,NC_022267_00069,NZ_CM001473_00069,NC_019097_00085	MOBP	HM021326	conjugative	CP025279	0.0148187	Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1913	AA474	AI598	order	Enterobacterales	family	Enterobacteriaceae	order	Enterobacterales	23333216; 30761100; 25987637; 21470454; 29899511; 20851899
AusGEM_00026:AA176	13	140141	49.129804982125144	a28e0fc90756ccd4135434e2054bb30d	IncFIB,IncFIC,rep_cluster_2244	000095__NZ_CP014273_00094,AP001918,CP033091_00053	MOBF	NC_017627_00068	MPF_F	NC_022651_00077,NC_010409_00124,NC_019094_00090,NC_017639_00094,NC_007675_00027,NC_017639_00100,NC_018966_00040,NC_019094_00068,NC_009837_00049,NC_013437_00116,08-5333_00200	MOBF	CP000430	conjugative	EU330199	0.0010072	Escherichia coli	AA176	AH855	order	Enterobacterales	order	Enterobacterales	order	Enterobacterales	11254626; 19482926; 15781495; 20851899; 16257053
